trial,ring,branch,P0_true,P0_recovered,P1_true,P1_recovered,P0_fractional_error,mbar_error_mag,changed_fraction,mbar_error_no_winsor_mag,delta_mbar_vs_no_winsor_mag
0,inner,no_winsor,0.9,0.8429330589321553,0.08,0.09389385762918691,-0.06340771229760522,0.07112355675982829,0.0,0.07112355675982829,0.0
0,outer,no_winsor,0.9,0.893207205781831,0.08,0.07750016982680652,-0.0075475491312989584,0.008225728591011798,0.0,0.008225728591011798,0.0
0,inner,raw_global_3p5,0.9,0.8411669307077497,0.08,0.09347079390995851,-0.06537007699138919,0.07340079691212863,0.0015630166220806155,0.07112355675982829,0.002277240152300339
0,outer,raw_global_3p5,0.9,0.8932055746878929,0.08,0.07732707617310557,-0.007549361457896864,0.008227711265745584,0.0002717624510112424,0.008225728591011798,1.982674733785536e-06
0,inner,normalized_full_3p5,0.9,0.8428410516372494,0.08,0.09374730582270736,-0.06350994262527843,0.07124207281800482,0.0003005801196308876,0.07112355675982829,0.0001185160581765321
0,outer,normalized_full_3p5,0.9,0.8929797922916276,0.08,0.07731926056315098,-0.0078002307870804755,0.0085021957933424,0.0003718854592785422,0.008225728591011798,0.0002764672023306009
0,inner,normalized_union_3p5,0.9,0.8428415709788605,0.08,0.09375104966401415,-0.06350936557904396,0.0712414038095187,0.0003005801196308876,0.07112355675982829,0.00011784704969040882
0,outer,normalized_union_3p5,0.9,0.8929847247930797,0.08,0.07732284360168273,-0.007794750229911496,0.008496198590872438,0.0003718854592785422,0.008225728591011798,0.00027046999986063934
1,inner,no_winsor,0.9,0.9128910171044591,0.08,0.07744572481909591,0.014323352338287743,-0.015441060447562355,0.0,-0.015441060447562355,0.0
1,outer,no_winsor,0.9,0.8652521394928453,0.08,0.084114471040676,-0.03860873389683861,0.042749568999894,0.0,0.042749568999894,0.0
1,inner,raw_global_3p5,0.9,0.9118191172480211,0.08,0.07677115550228603,0.013132352497801314,-0.014165459908092651,0.0013526105383389942,-0.015441060447562355,0.0012756005394697033
1,outer,raw_global_3p5,0.9,0.8645788149263705,0.08,0.0841310898798459,-0.03935687230403284,0.04359479944790718,0.0002574591641159138,0.042749568999894,0.0008452304480131775
1,inner,normalized_full_3p5,0.9,0.9128075630815919,0.08,0.07717214564339653,0.014230625646213246,-0.015341800848956172,0.0005410442153355977,-0.015441060447562355,9.925959860618283e-05
1,outer,normalized_full_3p5,0.9,0.8642255749770222,0.08,0.08412300059150554,-0.03974936113664196,0.044038488056695364,0.0005578281889178133,0.042749568999894,0.0012889190568013617
1,inner,normalized_union_3p5,0.9,0.9127950518774216,0.08,0.07717267548607971,0.014216724308246276,-0.015326919332878474,0.0005711022272986865,-0.015441060447562355,0.00011414111468388034
1,outer,normalized_union_3p5,0.9,0.8642243058601948,0.08,0.08412264709099146,-0.03975077126645021,0.04404008246345587,0.0005435249020224848,0.042749568999894,0.0012905134635618695
2,inner,no_winsor,0.9,0.8633319056953757,0.08,0.09283106152674969,-0.040742327005138135,0.04516179560688641,0.0,0.04516179560688641,0.0
2,outer,no_winsor,0.9,0.8800052177407348,0.08,0.08726946708207839,-0.02221642473251695,0.024393155639677037,0.0,0.024393155639677037,0.0
2,inner,raw_global_3p5,0.9,0.859998921792594,0.08,0.09234148389156766,-0.04444564245267335,0.04936150670980077,0.002043944813490036,0.04516179560688641,0.004199711102914366
