target_name,target_norm,candidate_class,proposal_id,target_classification,proposal_pi,obs_title,obsids_F150W,obsids_F090W,dataurls_F150W,dataurls_F090W,priority,sbf_suitability_note
VV-191,VV-191,strict_early_type,1176,Galaxy; Elliptical galaxies; Spiral arms; Spiral galaxies,"Windhorst, Rogier A.",JWST Medium-Deep Fields -- Windhorst IDS GTO Program,jw01176-o341_t005_nircam_clear-f150w,jw01176-o341_t005_nircam_clear-f090w,mast:JWST/product/jw01176-o341_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01176-o341_t005_nircam_clear-f090w_i2d.fits,"A_minus: nominal early-type, but inspect field carefully","MAST marks elliptical, but target is VV-191 pair; likely contaminated by spiral/interacting structure."
NGC-147,NGC-147,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o001_t001_nircam_clear-f150w,jw04783-o001_t001_nircam_clear-f090w,mast:JWST/product/jw04783-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o001_t001_nircam_clear-f090w_i2d.fits,"B: SBF-literature dwarf elliptical, but Local Group/resolved regime","Known SBF-literature Local Group dwarf elliptical/spheroidal; likely heavily resolved, so pipeline assumptions must be checked."
NGC-185,NGC-185,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o002_t002_nircam_clear-f150w,jw04783-o002_t002_nircam_clear-f090w,mast:JWST/product/jw04783-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o002_t002_nircam_clear-f090w_i2d.fits,"B: SBF-literature dwarf elliptical, but Local Group/resolved regime","Known SBF-literature Local Group dwarf elliptical/spheroidal; likely heavily resolved, so pipeline assumptions must be checked."
NGC-205,NGC-205,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits,"B: SBF-literature dwarf elliptical, but Local Group/resolved regime","Known SBF-literature Local Group dwarf elliptical/spheroidal; likely heavily resolved, so pipeline assumptions must be checked."
AQUARIUS-DIRR,AQUARIUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o004_t004_nircam_clear-f150w,jw04783-o004_t004_nircam_clear-f090w,mast:JWST/product/jw04783-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o004_t004_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
CETUS-DSPH,CETUS-DSPH,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o007_t007_nircam_clear-f150w,jw04783-o007_t007_nircam_clear-f090w,mast:JWST/product/jw04783-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o007_t007_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
DRACO-II,DRACO-II,local_group_dwarf_or_dwarf_spheroidal,1334,Galaxy; Dwarf galaxies; Dwarf spheroidal galaxies,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,jw01334-o003_t003_nircam_clear-f150w,jw01334-o003_t003_nircam_clear-f090w,mast:JWST/product/jw01334-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01334-o003_t003_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
IC-1613,IC-1613,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o008_t008_nircam_clear-f150w,jw04783-o008_t008_nircam_clear-f090w,mast:JWST/product/jw04783-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o008_t008_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
LEO-A,LEO-A,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o006_t006_nircam_clear-f150w,jw04783-o006_t006_nircam_clear-f090w,mast:JWST/product/jw04783-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o006_t006_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
PEGASUS-DIRR,PEGASUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o005_t005_nircam_clear-f150w,jw04783-o005_t005_nircam_clear-f090w,mast:JWST/product/jw04783-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o005_t005_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
Pegasus-W,PEGASUS-W,local_group_dwarf_or_dwarf_spheroidal,7119,Galaxy; Dwarf galaxies,"Sand, David J.",Does Reionization Quench All Ultra-faint Dwarf Galaxies? The Ancient Star Formation History of Pegasus W,jw07119-o001_t001_nircam_clear-f150w,jw07119-o001_t001_nircam_clear-f090w,mast:JWST/product/jw07119-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07119-o001_t001_nircam_clear-f090w_i2d.fits,"C: dwarf/resolved population test, not direct giant-elliptical SBF","Good for method stress-test on resolved stellar populations, weak for same calibration sample."
