galaxy,environment,mu_cluster,sigma_mu_cluster,m110_0,sigma_m110_0,g_z_ps_0,sigma_g_z_ps_0,source
IC 2006,Fornax,31.424,0.057,28.65,0.021,1.274,0.014,Jensen et al. 2025 Table 1
NGC 1344,Fornax,31.424,0.057,28.46,0.019,1.201,0.012,Jensen et al. 2025 Table 1
NGC 1374,Fornax,31.424,0.057,28.58,0.025,1.226,0.012,Jensen et al. 2025 Table 1
NGC 1375,Fornax,31.424,0.057,28.26,0.021,1.075,0.012,Jensen et al. 2025 Table 1
NGC 1380,Fornax,31.424,0.057,28.60,0.022,1.283,0.012,Jensen et al. 2025 Table 1
NGC 1399,Fornax,31.424,0.057,28.84,0.023,1.363,0.012,Jensen et al. 2025 Table 1
NGC 1404,Fornax,31.424,0.057,28.73,0.024,1.325,0.012,Jensen et al. 2025 Table 1
NGC 4458,Virgo,31.055,0.086,28.05,0.023,1.149,0.012,Jensen et al. 2025 Table 1
NGC 4472,Virgo,31.055,0.086,28.43,0.021,1.383,0.012,Jensen et al. 2025 Table 1
NGC 4489,Virgo,31.055,0.086,27.87,0.019,1.126,0.013,Jensen et al. 2025 Table 1
NGC 4552,Virgo,31.055,0.086,28.31,0.022,1.349,0.013,Jensen et al. 2025 Table 1
NGC 4636,Virgo,31.055,0.086,28.36,0.021,1.332,0.013,Jensen et al. 2025 Table 1
NGC 4649,Virgo,31.055,0.086,28.52,0.021,1.426,0.013,Jensen et al. 2025 Table 1
NGC 4697,Other,30.330,0.073,27.52,0.021,1.271,0.013,Jensen et al. 2025 Table 1
