galaxy,source_articles,source_urls,already_processed,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
IC 2006,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
IC 2597,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
IC 3019,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
IC 3025,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3032,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3065,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3101,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3292,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3328,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3381,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3383,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,9,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3442,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3461,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3468,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3470,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3487,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3490,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3501,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3509,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3586,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3602,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3612,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3633,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3635,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,16,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
IC 3652,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3653,ACS-Fornax-SBF;ACS-Virgo-SBF,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
IC 3735,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 3779,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 4182,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
IC 798,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
IC 809,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,9,0,,,False,False,False,,,,
NGC 1016,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,4,4,F150W;F356W,7113,False,False,False,,,,
NGC 1023,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1058,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1060,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1129,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1167,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1200,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1201,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1259,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1272,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,1,0,,,False,False,False,,,,
NGC 1278,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,215,12,F150W;F150W;F300M;F162M_F150W2;F335M;F182M;F300M;F360M,7033,False,False,False,,,,
NGC 1316,ACS-Fornax-SBF;Tonry-SBF-survey,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1336,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1339,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1340,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,5,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1351,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1366,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1373,ACS-Fornax-SBF;Tonry-SBF-survey,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1374,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1375,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1379,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1380,ACS-Fornax-SBF;Tonry-SBF-survey,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/9609113,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o001_t001_nircam_clear-f150w,jw03055-o001_t001_nircam_clear-f090w,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits
NGC 1381,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1386,ACS-Fornax-SBF;Tonry-SBF-survey,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1387,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1389,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1396,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1399,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o002_t002_nircam_clear-f150w,jw03055-o002_t002_nircam_clear-f090w,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits
NGC 1404,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o003_t003_nircam_clear-f150w,jw03055-o003_t003_nircam_clear-f090w,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits
NGC 1419,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1427,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1428,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 1453,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1460,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,False,ok,,0,0,,,False,False,False,,,,
NGC 147,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 1559,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,12,10,F090W;F150W;F187N;F277W;F300M;F335M,1685;3707,True,True,True,jw01685-o001_t001_nircam_clear-f150w;jw01685-o002_t001_nircam_clear-f150w;jw03707-o014_t008_nircam_clear-f150w,jw01685-o001_t001_nircam_clear-f090w;jw01685-o002_t001_nircam_clear-f090w,mast:JWST/product/jw01685-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o014_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f090w_i2d.fits
NGC 1573,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1600,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,18,0,,,False,False,False,,,,
NGC 1684,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 1700,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 185,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,1,0,,,False,False,False,,,,
NGC 205,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,6,6,F090W;F115W;F150W;F277W;F356W;F444W,4783,True,True,True,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits
NGC 2082,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 224,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 2258,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2274,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2340,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2513,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2672,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2693,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2765,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 2962,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 3031,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,51,0,,,False,False,False,,,,
NGC 315,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,3,0,,,False,False,False,,,,
NGC 3158,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,2,2,F150W;F356W,7113,False,False,False,,,,
NGC 3351,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,115,28,F115W;F410M;F115W;F480M;F150W;F150W2;F164N;F187N;F200W;F212N;F277W;F300M;F335M;F360M;F444W;F444W;F405N,10350;2107;4793,True,False,False,jw04793-o010_t010_nircam_clear-f150w,,mast:JWST/product/jw04793-o010_t010_nircam_clear-f150w_i2d.fits,
NGC 3368,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,6,4,F150W;F187N;F300M;F335M,3707,True,False,False,jw03707-o126_t023_nircam_clear-f150w,,mast:JWST/product/jw03707-o126_t023_nircam_clear-f150w_i2d.fits,
NGC 3379,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o013_t013_nircam_clear-f150w,jw03055-o013_t013_nircam_clear-f090w,mast:JWST/product/jw03055-o013_t013_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o013_t013_nircam_clear-f090w_i2d.fits
NGC 3392,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 3504,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
